team,group,formation,starter_order,lineup_role,shirt_number,player_name,source_url
Japan,F,3-4-2-1,2,DEF,4,Itakura,https://mylineups.app/world-cup-2026/teams/japan
Japan,F,3-4-2-1,3,DEF,21,Ito,https://mylineups.app/world-cup-2026/teams/japan
Japan,F,3-4-2-1,4,DEF,22,Tomiyasu,https://mylineups.app/world-cup-2026/teams/japan
Japan,F,3-4-2-1,5,MID,10,Doan,https://mylineups.app/world-cup-2026/teams/japan
Japan,F,3-4-2-1,6,MID,6,Endo,https://mylineups.app/world-cup-2026/teams/japan
Japan,F,3-4-2-1,7,MID,15,Kamada,https://mylineups.app/world-cup-2026/teams/japan
Japan,F,3-4-2-1,8,ATT,14,Ito,https://mylineups.app/world-cup-2026/teams/japan
Japan,F,3-4-2-1,9,ATT,8,Kubo,https://mylineups.app/world-cup-2026/teams/japan
Japan,F,3-4-2-1,10,ATT,13,Nakamura,https://mylineups.app/world-cup-2026/teams/japan
Japan,F,3-4-2-1,11,ATT,18,Ueda,https://mylineups.app/world-cup-2026/teams/japan
Netherlands,F,4-2-3-1,1,GK,1,Verbruggen,https://mylineups.app/world-cup-2026/teams/netherlands
Netherlands,F,4-2-3-1,2,DEF,5,Aké,https://mylineups.app/world-cup-2026/teams/netherlands
Netherlands,F,4-2-3-1,3,DEF,15,Van de Ven,https://mylineups.app/world-cup-2026/teams/netherlands
Netherlands,F,4-2-3-1,4,DEF,4,van Dijk,https://mylineups.app/world-cup-2026/teams/netherlands
Netherlands,F,4-2-3-1,5,MID,21,de Jong,https://mylineups.app/world-cup-2026/teams/netherlands
Netherlands,F,4-2-3-1,6,MID,22,Dumfries,https://mylineups.app/world-cup-2026/teams/netherlands
Netherlands,F,4-2-3-1,7,MID,8,Gravenberch,https://mylineups.app/world-cup-2026/teams/netherlands
Netherlands,F,4-2-3-1,8,MID,14,Reijnders,https://mylineups.app/world-cup-2026/teams/netherlands
Netherlands,F,4-2-3-1,9,ATT,10,Depay,https://mylineups.app/world-cup-2026/teams/netherlands
Netherlands,F,4-2-3-1,10,ATT,11,Gakpo,https://mylineups.app/world-cup-2026/teams/netherlands
Netherlands,F,4-2-3-1,11,ATT,18,Malen,https://mylineups.app/world-cup-2026/teams/netherlands
Sweden,F,3-4-3,1,GK,23,Nordfeldt,https://mylineups.app/world-cup-2026/teams/sweden
Sweden,F,3-4-3,2,DEF,5,Gudmundsson,https://mylineups.app/world-cup-2026/teams/sweden
Sweden,F,3-4-3,3,DEF,4,Hien,https://mylineups.app/world-cup-2026/teams/sweden
Sweden,F,3-4-3,4,DEF,2,Lagerbielke,https://mylineups.app/world-cup-2026/teams/sweden
Sweden,F,3-4-3,5,DEF,3,Lindelöf,https://mylineups.app/world-cup-2026/teams/sweden
Sweden,F,3-4-3,6,MID,18,Ayari,https://mylineups.app/world-cup-2026/teams/sweden
Sweden,F,3-4-3,7,MID,16,Karlström,https://mylineups.app/world-cup-2026/teams/sweden
Sweden,F,3-4-3,8,MID,8,Svensson,https://mylineups.app/world-cup-2026/teams/sweden
Sweden,F,3-4-3,9,ATT,11,Elanga,https://mylineups.app/world-cup-2026/teams/sweden
Sweden,F,3-4-3,10,ATT,17,Gyökeres,https://mylineups.app/world-cup-2026/teams/sweden
Sweden,F,3-4-3,11,ATT,9,Isak,https://mylineups.app/world-cup-2026/teams/sweden
Tunisia,F,4-2-3-1,1,GK,16,Dahmen,https://mylineups.app/world-cup-2026/teams/tunisia
Tunisia,F,4-2-3-1,2,DEF,2,Abdi,https://mylineups.app/world-cup-2026/teams/tunisia
Tunisia,F,4-2-3-1,3,DEF,6,Bronn,https://mylineups.app/world-cup-2026/teams/tunisia
Tunisia,F,4-2-3-1,4,DEF,3,Talbi,https://mylineups.app/world-cup-2026/teams/tunisia
Tunisia,F,4-2-3-1,5,DEF,20,Valery,https://mylineups.app/world-cup-2026/teams/tunisia
Tunisia,F,4-2-3-1,6,MID,7,Achouri,https://mylineups.app/world-cup-2026/teams/tunisia
Tunisia,F,4-2-3-1,7,MID,25,Ben Slimane,https://mylineups.app/world-cup-2026/teams/tunisia
Tunisia,F,4-2-3-1,8,MID,10,Hannibal,https://mylineups.app/world-cup-2026/teams/tunisia
Tunisia,F,4-2-3-1,9,MID,13,Khedira,https://mylineups.app/world-cup-2026/teams/tunisia
Tunisia,F,4-2-3-1,10,MID,17,Skhiri,https://mylineups.app/world-cup-2026/teams/tunisia
Tunisia,F,4-2-3-1,11,ATT,8,Saad,https://mylineups.app/world-cup-2026/teams/tunisia
